Peak,Lat,Lng,ELEV_FT
Stanton Mountain,48.65987,-113.89412,7750
McPartland Mountain,48.69064,-113.86430,8413
Heavens Peak,48.70836,-113.85656,8987
Mount Vaught,48.68058,-113.87463,8850
Mount Cannon,48.69248,-113.77488,8952
Bearhat Mountain,48.66701,-113.76378,8684
Mount Brown,48.63796,-113.81914,8565
Little Matterhorn,48.63564,-113.78515,7886
Mount Siyeh,48.72864,-113.64987,10014
Cataract Mountain,48.72481,-113.68130,8180
Bishops Cap,48.72471,-113.70964,9127
Mount Gould,48.74261,-113.71508,9553
Pollock Mountain,48.71653,-113.70297,9190
Mount Clements,48.69256,-113.74105,8760
Mount Reynolds,48.67162,-113.72381,9125
Mount Oberlin,48.70429,-113.73663,8180
Piegan Mountain,48.71031,-113.68922,9220
Matahpi Peak,48.70645,-113.63913,9365
Going-to-the-Sun Mountain,48.69037,-113.63669,9642
Heavy Runner Mountain,48.67684,-113.69492,8016
Fusilade Mountain,48.63989,-113.72323,8750
Citadel Mountain,48.63194,-113.65472,9030
Dusty Star Mountain,48.65038,-113.63506,8084
Little Chief Mountain,48.64426,-113.59546,9541
Mahtotopa Mountain,48.65161,-113.56995,8672
Red Eagle Mountain,48.65422,-113.54896,8881
Goat Mountain,48.70455,-113.59178,8826
Otokomi Mountain,48.72493,-113.53638,7935
East Flattop Mountain,48.73883,-113.52141,8356
Singleshot Mountain,48.74122,-113.49692,7926
Curley Bear Mountain,48.65882,-113.45615,8099
Kakitos Mountain,48.63204,-113.48933,7841
Divide Mountain,48.66524,-113.40123,8665
White Calf Mountain,48.64433,-113.40708,8893
Belton Hills,48.52182,-113.93002,6339
Edwards Mountain,48.62254,-113.78749,9072
Gunsight Mountain,48.61908,-113.75410,9258
Lincoln Peak,48.59702,-113.78408,7420
Mount Jackson,48.60056,-113.72193,10052
Mount Logan,48.60054,-113.64203,9239
Walton Mountain,48.57541,-113.73298,8926
Blackfoot Mountain,48.58182,-113.66847,9574
Mount Thompson,48.54580,-113.68797,8727
Mount Stimson,48.51422,-113.61028,10142
Tinkham Mountain,48.52475,-113.50654,8442
Razoredge Mountain,48.55665,-113.51610,8610
Triple Divide Peak,48.57291,-113.51698,8020
Norris Mountain,48.57680,-113.53381,8882
Split Mountain,48.59802,-113.53921,8792
Almost-a-Dog Mountain,48.62271,-113.61922,8922
Red Mountain,48.53549,-113.42407,9377
Eagle Plume Mountain,48.55295,-113.41766,8724
Bad Marriage Mountain,48.56756,-113.41932,8350
Kupunkamint Mountain,48.61833,-113.42172,8797
Medicine Owl Peak,48.60884,-113.49548,8284
Ampitheatre Mountain,48.59956,-113.48779,8690
Mount James,48.58425,-113.49255,9375
Medicine Grizzly Mountain,48.55915,-113.46570,8315
McClintock Peak,48.52497,-113.47274,8285
Mount Morgan,48.51394,-113.47287,8791
Mad Wolf Mountain,48.56763,-113.36885,8341
Basin Mountain,48.55112,-113.36331,6920
Spot Mountain,48.53378,-113.35580,7831
Loneman Mountain,48.48909,-113.76938,7181
Threesuns Mountain,48.49027,-113.65581,8205
Threetops Mountain,48.45753,-113.70453,6790
Mount Saint Nicholas,48.39147,-113.55047,9376
Church Butte,48.38154,-113.51397,8808
Salvage Mountain,48.37563,-113.53448,8328
Battlement Mountain,48.41428,-113.51615,8830
Mount Doody,48.42996,-113.57573,8640
